Text;anger;disgust;fear;joy;sadness;surprise;neutral
I love this product!;0;0;0;1;0;0;0
The service was terrible.;1;0;0;0;1;0;0
This movie is amazing!;0;0;0;1;0;0;0
I'm so disappointed with their customer support.;1;0;0;0;1;0;0
Just had the best meal of my life!;0;0;0;1;0;0;0
The quality of this product is subpar.;0;0;0;0;1;0;0
I can't stop listening to this song. It's incredible!;0;0;0;1;0;0;0
Their website is so user-friendly. Love it!;0;0;0;1;0;0;0
I loved the movie! It was fantastic!;0;0;0;1;0;0;0
The customer service was terrible.;0;1;0;0;0;0;0
This book made me feel inspired. Highly recommended!;0;0;0;1;0;0;0
I'm extremely disappointed with their product quality.;1;0;0;0;0;0;0
Just had the most amazing vacation! I can't wait to go back.;0;0;0;1;0;0;0
The food at this restaurant was awful. Never going back again!;1;1;0;0;0;0;0
I can't stop listening to this song. It's my new favorite!;0;0;0;1;0;0;0
Their website is so confusing and poorly designed.;0;0;0;0;1;0;0
I had an incredible experience at the theme park. So much fun!;0;0;0;1;0;0;0
The product arrived damaged. Very disappointed.;1;0;0;0;1;0;0
The concert was absolutely breathtaking. Best performance ever!;0;0;0;1;0;1;0
I had a terrible experience with their customer support.;1;0;0;0;0;0;0
This movie is a masterpiece! I was blown away.;0;0;0;1;0;1;0
The customer service at this store is top-notch.;0;0;0;1;0;0;0
I'm disappointed with the ending of this book. It fell flat.;1;0;0;0;1;0;0
The product I received was damaged. Unacceptable.;1;1;0;0;0;0;0
Just had the worst flight experience. Delayed and rude staff.;1;0;0;0;0;0;0
The hotel stay was absolutely amazing! Luxury at its finest.;0;0;0;1;0;0;0
The food at this restaurant was outstanding. Highly recommended!;0;0;0;1;0;0;0
This playlist is my go-to for workouts. Energizing and motivating!;0;0;0;0;0;0;1
I had a frustrating experience navigating through their website.;1;0;0;0;0;0;0
The roller coaster ride was thrilling! Heart-pounding excitement!;0;0;0;1;0;0;0
The product I ordered never arrived. Terrible service.;1;0;1;0;0;0;0
I can't get enough of this band. Their music is incredible!;0;0;0;1;0;0;0
I had a great chat with their customer support. Helpful and friendly.;0;0;0;1;0;0;1
This restaurant has the most delicious food. I can't wait to go back!;0;0;0;1;0;0;0
The product I purchased broke within a week. Poor quality.;1;0;0;0;0;1;0
This book is thought-provoking and beautifully written. Highly recommended!;0;0;0;0;0;0;1
The customer service at this store is exceptional. They went above and beyond.;0;0;0;1;0;0;0
I had a terrible experience with their technical support. No resolution.;1;0;0;0;1;0;0
The live concert was electrifying! The band's energy was contagious.;0;0;0;1;0;0;0
I'm disappointed with the food at this restaurant. It was tasteless.;1;1;0;0;0;0;0
This song always puts me in a good mood. It's my go-to feel-good track!;0;0;0;0;0;0;1
The website is slow and unresponsive. Difficult to navigate.;0;0;0;0;0;0;1
The roller coaster ride was exhilarating! Pure adrenaline rush!;0;0;0;1;0;0;0
The product I ordered arrived damaged. Very disappointed with the packaging.;1;0;0;0;0;1;0
I'm captivated by this band's unique sound. They're a breath of fresh air!;0;0;0;1;0;1;0
The customer support was quick to respond and resolved my issue. Impressed!;0;0;0;0;0;0;1
This restaurant has the best food. I highly recommend it!;0;0;0;1;0;1;0
The plot of this movie is confusing and hard to follow.;0;0;0;0;0;0;1
I'm addicted to this game. It's so much fun!;0;0;0;1;0;0;0
The customer service at this hotel was terrible. Avoid at all costs.;1;1;0;0;0;0;0
This book bored me to tears. I couldn't finish it.;0;0;0;0;1;0;0
I'm impressed with the sound quality of these headphones. Excellent!;0;0;0;1;0;1;0
The website design is sleek and user-friendly. Easy to navigate.;0;0;0;0;0;0;1
I had a terrible experience with their delivery service. Late and unprofessional.;1;0;0;0;0;0;0
The concert was mind-blowing! The band knows how to put on a show.;0;0;0;1;0;0;0
I'm extremely disappointed with the customer support. No resolution.;1;0;0;0;0;0;0
The hotel staff were rude and unprofessional. Terrible customer service.;1;0;1;0;0;0;0
The food at this restaurant was mediocre. Nothing special.;0;0;0;0;0;0;1
This song always puts me in a nostalgic mood. It reminds me of good times.;0;0;0;1;0;0;0
The website loading speed is frustratingly slow. Needs improvement.;0;0;0;0;0;1;0
The food at this cafe exceeded my expectations. Absolutely delicious!;0;0;0;1;0;1;0
I'm disappointed with the ending of this TV show. It left too many unanswered questions.;0;0;0;0;1;0;0
This album is a masterpiece. Every song is a work of art!;0;0;0;1;0;0;0
The website layout is cluttered and confusing. Difficult to find information.;1;0;0;0;0;0;0
The roller coaster at this theme park is a thrilling experience. A must-try!;0;0;0;1;0;0;0
The product I ordered never arrived. Poor customer service.;1;0;0;0;1;0;0
I'm in awe of this artist's talent. Their paintings are breathtaking!;0;0;0;1;0;1;0
The food at this restaurant was disappointing. Not worth the price.;1;1;0;0;0;0;0
This playlist is perfect for relaxation. Soothing and calming!;0;0;0;0;0;0;1
The website navigation is smooth and intuitive. I found what I needed quickly.;0;0;0;0;0;0;1
The ride on this cruise ship was an unforgettable experience. I loved every moment!;0;0;0;1;0;0;0
The product I received was of poor quality. It broke after a few uses.;0;0;0;0;1;0;0
This book kept me hooked from start to finish. A captivating read!;0;0;0;1;0;0;0
The customer service at this store is outstanding. They truly care about their customers.;0;0;0;1;0;0;0
I had a frustrating experience with their technical support. No resolution provided.;1;0;0;0;0;0;0
The hotel staff were rude and unprofessional. Terrible customer service.;1;0;0;0;0;0;0
The food at this restaurant was mediocre. Nothing special.;0;0;0;0;0;0;1
This song always puts me in a nostalgic mood. It reminds me of good times.;0;0;0;1;0;0;0
The website loading speed is frustratingly slow. Needs improvement.;1;0;0;0;0;0;0
